,oru,odc_location
0,1,"(-3.0919270104166667, -60.01264239583333)"
1,2,"(-3.0919270104166667, -60.01264239583333)"
2,3,"(-3.0919270104166667, -60.01264239583333)"
3,4,"(-3.0919270104166667, -60.01264239583333)"
4,5,"(-3.0919270104166667, -60.01264239583333)"
5,6,"(-3.0919270104166667, -60.01264239583333)"
6,7,"(-3.0919270104166667, -60.01264239583333)"
7,8,"(-3.0919270104166667, -60.01264239583333)"
8,9,"(-3.0919270104166667, -60.01264239583333)"
9,10,"(-3.0919270104166667, -60.01264239583333)"
10,11,"(-3.0919270104166667, -60.01264239583333)"
11,12,"(-3.0919270104166667, -60.01264239583333)"
12,13,"(-3.0919270104166667, -60.01264239583333)"
13,14,"(-3.0919270104166667, -60.01264239583333)"
14,15,"(-3.0919270104166667, -60.01264239583333)"
15,16,"(-3.0919270104166667, -60.01264239583333)"
16,17,"(-3.0919270104166667, -60.01264239583333)"
17,18,"(-3.0919270104166667, -60.01264239583333)"
18,19,"(-3.0919270104166667, -60.01264239583333)"
19,20,"(-3.0919270104166667, -60.01264239583333)"
20,21,"(-3.0919270104166667, -60.01264239583333)"
21,22,"(-3.0919270104166667, -60.01264239583333)"
22,23,"(-3.0919270104166667, -60.01264239583333)"
23,24,"(-3.0919270104166667, -60.01264239583333)"
24,25,"(-3.0919270104166667, -60.01264239583333)"
25,26,"(-3.0919270104166667, -60.01264239583333)"
26,27,"(-3.0919270104166667, -60.01264239583333)"
27,28,"(-3.0919270104166667, -60.01264239583333)"
28,29,"(-3.0919270104166667, -60.01264239583333)"
29,30,"(-3.0919270104166667, -60.01264239583333)"
30,31,"(-3.0919270104166667, -60.01264239583333)"
31,32,"(-3.0919270104166667, -60.01264239583333)"
32,33,"(-3.0919270104166667, -60.01264239583333)"
33,34,"(-3.0919270104166667, -60.01264239583333)"
34,35,"(-3.0919270104166667, -60.01264239583333)"
35,36,"(-3.0919270104166667, -60.01264239583333)"
36,37,"(-3.0919270104166667, -60.01264239583333)"
37,38,"(-3.0919270104166667, -60.01264239583333)"
38,39,"(-3.0919270104166667, -60.01264239583333)"
39,40,"(-3.0919270104166667, -60.01264239583333)"
40,41,"(-3.0919270104166667, -60.01264239583333)"
41,42,"(-3.0919270104166667, -60.01264239583333)"
42,43,"(-3.0919270104166667, -60.01264239583333)"
