cell_site_id,emission_designation,technology,tx_frequency,rx_frequency,azimuth,antenna_gain,back_front_relation,hpa,mechanical_elevation,polarization,antenna_height,tx_power,latitude,longitude,cell_carrier_id,operator
442323999,10M0G7W,NR,788,733,50,17,28,66.0,0.0,X,46.0,40.0,-3.0875,-60.04028,59ad636e4f608,TELEFONICA BRASIL S.A.
442323999,10M0G7W,NR,788,733,160,17,28,66.0,0.0,X,46.0,40.0,-3.0875,-60.04028,59ad636e56f46,TELEFONICA BRASIL S.A.
442323999,10M0G7W,NR,788,733,265,17,28,66.0,0.0,X,46.0,40.0,-3.0875,-60.04028,59ad636e5e414,TELEFONICA BRASIL S.A.
442323999,10M0G7W,NR,2160,1970,50,"17,00",25,64.0,6.0,X,46.0,40.0,-3.0875,-60.04028,3884d2488aaaaa54,TELEFONICA BRASIL S.A.
442323999,10M0G7W,NR,2160,1970,160,"17,00",25,64.0,6.0,X,46.0,40.0,-3.0875,-60.04028,3884d2488aaaaa55,TELEFONICA BRASIL S.A.
442323999,10M0G7W,NR,2160,1970,265,"17,00",25,64.0,6.0,X,46.0,40.0,-3.0875,-60.04028,3884d2488aaaaa56,TELEFONICA BRASIL S.A.
683149687,100MG7W,NR,3450,3450,110,23.5,25,65.0,10.0,X,25.0,200.0,-3.12278,-60.01333,3cdfd5f8c8295c53,TELEFONICA BRASIL S.A.
683149687,100MG7W,NR,3450,3450,245,23.5,25,65.0,10.0,X,25.0,200.0,-3.12278,-60.01333,3cdfd5f8c8295c54,TELEFONICA BRASIL S.A.
683149687,100MG7W,NR,3450,3450,30,23.5,25,65.0,8.0,X,25.0,200.0,-3.12278,-60.01333,3cdfd5f8c8295c55,TELEFONICA BRASIL S.A.
687298121,100MG7W,NR,3450,3450,320,23.5,25,65.0,6.0,X,49.0,200.0,-3.10759,-60.05268,3cdfd5f8c8295c56,TELEFONICA BRASIL S.A.
687298121,100MG7W,NR,3450,3450,40,23.5,25,65.0,6.0,X,49.0,200.0,-3.10759,-60.05268,3cdfd5f8c8295c57,TELEFONICA BRASIL S.A.
687298121,100MG7W,NR,3450,3450,160,23.5,25,65.0,6.0,X,49.0,200.0,-3.10759,-60.05268,3cdfd5f8c8295c58,TELEFONICA BRASIL S.A.
689337930,100MG7W,NR,3450,3450,160,23.5,25,65.0,6.0,X,25.0,200.0,-3.10917,-60.0125,3cdfd5f8c8295c5c,TELEFONICA BRASIL S.A.
689337930,100MG7W,NR,3450,3450,270,23.5,25,65.0,6.0,X,25.0,200.0,-3.10917,-60.0125,3cdfd5f8c8295c5d,TELEFONICA BRASIL S.A.
689337930,100MG7W,NR,3450,3450,50,23.5,25,65.0,6.0,X,25.0,200.0,-3.10917,-60.0125,3cdfd5f8c8295c5e,TELEFONICA BRASIL S.A.
689386818,100MG7W,NR,3450,3450,360,23.5,25,65.0,6.0,X,50.0,200.0,-3.12611,-60.02361,3cdfd5f8c8295c5f,TELEFONICA BRASIL S.A.
689386818,100MG7W,NR,3450,3450,120,23.5,25,65.0,6.0,X,50.0,200.0,-3.12611,-60.02361,3cdfd5f8c8295c60,TELEFONICA BRASIL S.A.
689386818,100MG7W,NR,3450,3450,260,23.5,25,65.0,6.0,X,50.0,200.0,-3.12611,-60.02361,3cdfd5f8c8295c61,TELEFONICA BRASIL S.A.
689846940,100MG7W,NR,3450,3450,60,23.5,25,65.0,3.0,X,42.0,200.0,-3.105,-60.01333,3cdfd5f8c8295c62,TELEFONICA BRASIL S.A.
689846940,100MG7W,NR,3450,3450,180,23.5,25,65.0,6.0,X,42.0,200.0,-3.105,-60.01333,3cdfd5f8c8295c63,TELEFONICA BRASIL S.A.
689846940,100MG7W,NR,3450,3450,300,23.5,25,65.0,6.0,X,42.0,200.0,-3.105,-60.01333,3cdfd5f8c8295c64,TELEFONICA BRASIL S.A.
689850107,100MG7W,NR,3450,3450,60,23.5,25,65.0,4.0,X,43.0,200.0,-3.08942,-60.00514,3cdfd5f8c8295c65,TELEFONICA BRASIL S.A.
689850107,100MG7W,NR,3450,3450,180,23.5,25,65.0,6.0,X,43.0,200.0,-3.08942,-60.00514,3cdfd5f8c8295c66,TELEFONICA BRASIL S.A.
689850107,100MG7W,NR,3450,3450,300,23.5,25,65.0,6.0,X,43.0,200.0,-3.08942,-60.00514,3cdfd5f8c8295c67,TELEFONICA BRASIL S.A.
691365377,100MG7W,NR,3450,3450,30,23.5,25,65.0,11.0,X,40.0,200.0,-3.12111,-60.01889,3cdfd5f8c8295c7a,TELEFONICA BRASIL S.A.
691365377,100MG7W,NR,3450,3450,170,23.5,25,65.0,8.0,X,40.0,200.0,-3.12111,-60.01889,3cdfd5f8c8295c7b,TELEFONICA BRASIL S.A.
691365377,100MG7W,NR,3450,3450,270,23.5,25,65.0,8.0,X,40.0,200.0,-3.12111,-60.01889,3cdfd5f8c8295c7c,TELEFONICA BRASIL S.A.
691365393,100MG7W,NR,3450,3450,35,23.5,25,65.0,6.0,X,40.0,200.0,-3.08083,-60.03306,3cdfd5f8c8295c7d,TELEFONICA BRASIL S.A.
691365393,100MG7W,NR,3450,3450,145,23.5,25,65.0,6.0,X,40.0,200.0,-3.08083,-60.03306,3cdfd5f8c8295c7e,TELEFONICA BRASIL S.A.
691365393,100MG7W,NR,3450,3450,280,23.5,25,65.0,6.0,X,40.0,200.0,-3.08083,-60.03306,3cdfd5f8c8295c7f,TELEFONICA BRASIL S.A.
691365539,100MG7W,NR,3450,3450,360,23.5,25,65.0,10.0,X,35.0,200.0,-3.10611,-60.0175,3cdfd5f8c8295c80,TELEFONICA BRASIL S.A.
691365539,100MG7W,NR,3450,3450,160,23.5,25,65.0,6.0,X,35.0,200.0,-3.10611,-60.0175,3cdfd5f8c8295c81,TELEFONICA BRASIL S.A.
691365539,100MG7W,NR,3450,3450,280,23.5,25,65.0,11.0,X,35.0,200.0,-3.10611,-60.0175,3cdfd5f8c8295c82,TELEFONICA BRASIL S.A.
691539065,100MG7W,NR,3450,3450,20,23.5,25,65.0,0.0,X,27.0,200.0,-3.08778,-60.01694,3cdfd5f8c8295c83,TELEFONICA BRASIL S.A.
691539065,100MG7W,NR,3450,3450,130,23.5,25,65.0,0.0,X,27.0,200.0,-3.08778,-60.01694,3cdfd5f8c8295c84,TELEFONICA BRASIL S.A.
691539065,100MG7W,NR,3450,3450,240,23.5,25,65.0,0.0,X,27.0,200.0,-3.08778,-60.01694,3cdfd5f8c8295c85,TELEFONICA BRASIL S.A.
691539120,100MG7W,NR,3450,3450,140,23.5,25,65.0,3.0,X,50.0,200.0,-3.12444,-59.9975,3cdfd5f8c8295c86,TELEFONICA BRASIL S.A.
691539120,100MG7W,NR,3450,3450,20,23.5,25,65.0,3.0,X,50.0,200.0,-3.12444,-59.9975,3cdfd5f8c8295c87,TELEFONICA BRASIL S.A.
691539120,100MG7W,NR,3450,3450,290,23.5,25,65.0,3.0,X,50.0,200.0,-3.12444,-59.9975,3cdfd5f8c8295c88,TELEFONICA BRASIL S.A.
692850821,100MG7W,NR,3450,3450,100,23.5,25,65.0,4.0,X,17.0,200.0,-3.13611,-60.02028,3cdfd5f8c8295c8c,TELEFONICA BRASIL S.A.
692850821,100MG7W,NR,3450,3450,210,23.5,25,65.0,8.0,X,17.0,200.0,-3.13611,-60.02028,3cdfd5f8c8295c8d,TELEFONICA BRASIL S.A.
692850821,100MG7W,NR,3450,3450,320,23.5,25,65.0,9.0,X,17.0,200.0,-3.13611,-60.02028,3cdfd5f8c8295c8e,TELEFONICA BRASIL S.A.
699392713,100MG7W,NR,3450,3450,340,23.5,25,65.0,6.0,X,35.0,200.0,-3.10028,-60.02028,3cdfd5f8c8295ca1,TELEFONICA BRASIL S.A.
699392713,100MG7W,NR,3450,3450,100,23.5,25,65.0,6.0,X,35.0,200.0,-3.10028,-60.02028,3cdfd5f8c8295ca2,TELEFONICA BRASIL S.A.
699392713,100MG7W,NR,3450,3450,240,23.5,25,65.0,6.0,X,35.0,200.0,-3.10028,-60.02028,3cdfd5f8c8295ca3,TELEFONICA BRASIL S.A.
699563640,100MG7W,NR,3450,3450,240,23.5,25,65.0,13.0,X,20.0,200.0,-3.11778,-60.01806,3cdfd5f8c8295ca4,TELEFONICA BRASIL S.A.
699563640,100MG7W,NR,3450,3450,120,23.5,25,65.0,10.0,X,20.0,200.0,-3.11778,-60.01806,3cdfd5f8c8295ca5,TELEFONICA BRASIL S.A.
699563640,100MG7W,NR,3450,3450,360,23.5,25,65.0,5.0,X,20.0,200.0,-3.11778,-60.01806,3cdfd5f8c8295ca6,TELEFONICA BRASIL S.A.
699633109,100MG7W,NR,3450,3450,50,23.5,25,65.0,8.0,X,40.0,200.0,-3.0875,-60.03222,3cdfd5f8c8295ca7,TELEFONICA BRASIL S.A.
699633109,100MG7W,NR,3450,3450,300,23.5,25,65.0,8.0,X,40.0,200.0,-3.0875,-60.03222,3cdfd5f8c8295ca8,TELEFONICA BRASIL S.A.
