Status.state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado
LIC-LIC-01,TIM S A,50409428698,010,105812021,659110695,Avenida Chico Mendes,-,AM,1302603,10M0G7W,NR,SA-NSA,,3550,3550,60,FB,Greenfield,sim,760,100462102519,25,25,65,-7,X,37,100462102519,200,-3.02075,-60.007778,G,2023-11-06,2002-09-18,,4d5c019fda1f8,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,659110695,Avenida Chico Mendes,-,AM,1302603,10M0G7W,NR,SA-NSA,,3550,3550,180,FB,Greenfield,sim,760,100462102519,25,25,65,-7,X,37,100462102519,200,-3.02075,-60.007778,G,2023-11-06,2002-09-18,,4d5c019fda1f9,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,659110695,Avenida Chico Mendes,-,AM,1302603,10M0G7W,NR,SA-NSA,,3550,3550,300,FB,Greenfield,sim,760,100462102519,25,25,65,-7,X,37,100462102519,200,-3.02075,-60.007778,G,2023-11-06,2002-09-18,,4d5c019fda1fa,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,682871672,Avenida Darcy Vargas,-,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,60,FB,Greenfield,não,760,011471500324,15.81,26,65,-3,X,36.5,057731705894,40,-3.093,-60.02475,G,2023-11-06,2002-10-23,,4d5c019ff9747,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,682871672,Avenida Darcy Vargas,-,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,200,FB,Greenfield,não,760,011471500324,15.81,26,65,-3,X,36.5,057731705894,40,-3.093,-60.02475,G,2023-11-06,2002-10-23,,4d5c019ff9748,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,682871672,Avenida Darcy Vargas,-,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,280,FB,Greenfield,não,760,011471500324,15.81,26,65,-3,X,36.5,057731705894,40,-3.093,-60.02475,G,2023-11-06,2002-10-23,,4d5c019ff9749,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,682871850,Rua Das Rosas,Fundos (Av. Alameda Cosme Ferreira),AM,1302603,10M0G7W,NR,SA-NSA,,3550,3550,45,FB,Greenfield,sim,760,100462102519,25,25,65,-3,X,58,100462102519,200,-3.079917,-59.976278,G,2023-11-06,2002-10-23,,4d5c019ff9786,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,682871850,Rua Das Rosas,Fundos (Av. Alameda Cosme Ferreira),AM,1302603,10M0G7W,NR,SA-NSA,,3550,3550,190,FB,Greenfield,sim,760,100462102519,25,25,65,-3,X,58,100462102519,200,-3.079917,-59.976278,G,2023-11-06,2002-10-23,,4d5c019ff979c,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,682871850,Rua Das Rosas,Fundos (Av. Alameda Cosme Ferreira),AM,1302603,10M0G7W,NR,SA-NSA,,3550,3550,310,FB,Greenfield,sim,760,100462102519,25,25,65,-3,X,58,100462102519,200,-3.079917,-59.976278,G,2023-11-06,2002-10-23,,4d5c019ff979d,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,682872121,Rua 1,Esquina Com Rua São Luís,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,30,FB,Greenfield,sim,760,056001603518,16.15,25,65,-3,X,47,057731705894,40,-3.034806,-60.002,G,2023-11-06,2002-10-23,,4d5c019ff9823,2023-12-15,,
