Status.state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado
LIC-LIC-01,TIM S A,50409428698,010,97812014,431377839,Rua Raimundo Chaves,Esquina Com A Av Prudente De Morais,RN,2408102,10M0G7W,NR,SA-NSA,,778,723,30,FB,Greenfield,não,760,064101600762,13.42,28,65.2,0,X,46.5,079372003257,40,-5.831417,-35.217528,G,2023-10-24,1999-11-16,,4d5c019f9669f,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,431377839,Rua Raimundo Chaves,Esquina Com A Av Prudente De Morais,RN,2408102,10M0G7W,NR,SA-NSA,,778,723,150,FB,Greenfield,não,760,064101600762,13.42,28,65.2,-2,X,46.5,079372003257,40,-5.831417,-35.217528,G,2023-10-24,1999-11-16,,4d5c019f966a0,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,431377839,Rua Raimundo Chaves,Esquina Com A Av Prudente De Morais,RN,2408102,10M0G7W,NR,SA-NSA,,778,723,300,FB,Greenfield,não,760,064101600762,13.42,28,65.2,-2,X,46.5,048811903257,40,-5.831417,-35.217528,G,2023-10-24,1999-11-16,,4d5c019f966aa,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,535848218,Rua Dos Potiguares,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,0,FB,Greenfield,sim,760,116672103257,25,25,65,-4,X,42,116672103257,200,-5.82667,-35.22806,G,2023-10-24,2000-10-09,,4d5c019fb9a7a,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,535848218,Rua Dos Potiguares,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,120,FB,Greenfield,sim,760,116672103257,25,25,65,-4,X,42,116672103257,200,-5.82667,-35.22806,G,2023-10-24,2000-10-09,,4d5c019fb9a92,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,535848218,Rua Dos Potiguares,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,240,FB,Greenfield,sim,760,116672103257,25,25,65,-4,X,42,116672103257,200,-5.82667,-35.22806,G,2023-10-24,2000-10-09,,4d5c019fb9a93,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,687569508,RUA FAROL DE NATAL,,RN,2408102,100MG7W,NR,SA-NSA,,3550,3550,170,FB,,NA,760,116672103257,25,25,65,-7,X,50,116672103257,200,-5.798361,-35.183889,G,2023-02-15,2005-12-20,,4d5c01a08c131,2041-12-08,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,687569508,RUA FAROL DE NATAL,,RN,2408102,100MG7W,NR,SA-NSA,,3550,3550,340,FB,,NA,760,116672103257,25,25,65,-7,X,50,116672103257,200,-5.798361,-35.183889,G,2023-02-15,2005-12-20,,4d5c01a08c134,2041-12-08,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,105802021,690906102,RUA FEIRA DE SANTANA,RN056,RN,2408102,100MG7W,NR,SA-NSA,,3450,3450,360,FB,,NA,760,116652103257,25,25,65,-2,X,38,116652103257,200,-5.755528,-35.245867,G,2024-02-19,2008-12-09,,4d5c01a0e2d74,2041-12-08,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,105802021,690906102,RUA FEIRA DE SANTANA,RN056,RN,2408102,100MG7W,NR,SA-NSA,,3450,3450,120,FB,,NA,760,116652103257,25,25,65,-6,X,38,116652103257,200,-5.755528,-35.245867,G,2024-02-19,2008-12-09,,4d5c01a0e2d75,2041-12-08,,
