cell_site_id,emission_designation,technology,tx_frequency,rx_frequency,azimuth,antenna_gain,back_front_relation,hpa,mechanical_elevation,polarization,antenna_height,tx_power,latitude,longitude,cell_carrier_id
442323999,10M0G7W,NR,788,733,50,17,28,66,0,X,46,40,-3.0875,-60.04028,59ad636e4f608
442323999,10M0G7W,NR,788,733,160,17,28,66,0,X,46,40,-3.0875,-60.04028,59ad636e56f46
442323999,10M0G7W,NR,788,733,265,17,28,66,0,X,46,40,-3.0875,-60.04028,59ad636e5e414
442323999,10M0G7W,NR,2160,1970,50,17,25,64,6,X,46,40,-3.0875,-60.04028,3884d2488aaaaa54
442323999,10M0G7W,NR,2160,1970,160,17,25,64,6,X,46,40,-3.0875,-60.04028,3884d2488aaaaa55
442323999,10M0G7W,NR,2160,1970,265,17,25,64,6,X,46,40,-3.0875,-60.04028,3884d2488aaaaa56
683149687,100MG7W,NR,3450,3450,110,23.5,25,65,10,X,25,200,-3.12278,-60.01333,3cdfd5f8c8295c53
683149687,100MG7W,NR,3450,3450,245,23.5,25,65,10,X,25,200,-3.12278,-60.01333,3cdfd5f8c8295c54
683149687,100MG7W,NR,3450,3450,30,23.5,25,65,8,X,25,200,-3.12278,-60.01333,3cdfd5f8c8295c55
687298121,100MG7W,NR,3450,3450,320,23.5,25,65,6,X,49,200,-3.10759,-60.05268,3cdfd5f8c8295c56
687298121,100MG7W,NR,3450,3450,40,23.5,25,65,6,X,49,200,-3.10759,-60.05268,3cdfd5f8c8295c57
687298121,100MG7W,NR,3450,3450,160,23.5,25,65,6,X,49,200,-3.10759,-60.05268,3cdfd5f8c8295c58
689337930,100MG7W,NR,3450,3450,160,23.5,25,65,6,X,25,200,-3.10917,-60.0125,3cdfd5f8c8295c5c
689337930,100MG7W,NR,3450,3450,270,23.5,25,65,6,X,25,200,-3.10917,-60.0125,3cdfd5f8c8295c5d
689337930,100MG7W,NR,3450,3450,50,23.5,25,65,6,X,25,200,-3.10917,-60.0125,3cdfd5f8c8295c5e
689386818,100MG7W,NR,3450,3450,360,23.5,25,65,6,X,50,200,-3.12611,-60.02361,3cdfd5f8c8295c5f
689386818,100MG7W,NR,3450,3450,120,23.5,25,65,6,X,50,200,-3.12611,-60.02361,3cdfd5f8c8295c60
689386818,100MG7W,NR,3450,3450,260,23.5,25,65,6,X,50,200,-3.12611,-60.02361,3cdfd5f8c8295c61
689846940,100MG7W,NR,3450,3450,60,23.5,25,65,3,X,42,200,-3.105,-60.01333,3cdfd5f8c8295c62
