,odc_locations,fiberlength
0,"(-3.09417, -60.02306)",0.0
1,"(-3.03914, -59.93611)",0.0
2,"(-3.13361, -60.02083)",0.0
3,"(-3.02806, -59.98861)",0.0
4,"(-3.102419, -60.061689)",0.0
5,"(-3.09417, -59.99083)",0.0
6,"(-3.1225, -60.00556)",0.0
7,"(-3.06472, -60.04361)",0.0
8,"(-3.08429, -60.07579)",0.0
9,"(-3.07556, -60.01972)",0.0
10,"(-3.10361, -59.95667)",0.0
11,"(-3.09472, -60.03556)",0.0
12,"(-2.97417, -59.99028)",0.0
13,"(-3.02139, -59.94583)",0.0
14,"(-3.05444, -59.98361)",0.0
15,"(-3.08942, -60.00514)",0.0
16,"(-3.10889, -60.00111)",0.0
17,"(-3.11778, -60.01806)",0.0
18,"(-3.11444, -60.04806)",0.0
19,"(-3.07222, -59.94861)",0.0
20,"(-3.03916, -59.91035)",0.0
21,"(-3.09528, -60.05361)",0.0
22,"(-3.0875, -60.04028)",0.0
23,"(-3.10611, -60.0175)",0.0
24,"(-3.11028, -59.99111)",0.0
25,"(-3.09778, -60.00667)",0.0
26,"(-3.07778, -60.00778)",0.0
27,"(-3.08778, -60.05694)",0.0
28,"(-3.143782, -60.009315)",0.0
29,"(-3.09194, -60.06889)",0.0
30,"(-3.11639, -60.03528)",0.0
31,"(-3.00917, -59.99083)",0.0
32,"(-3.02917, -59.97694)",0.0
33,"(-3.08083, -60.03306)",0.0
34,"(-3.12861, -60.01306)",0.0
35,"(-3.04194, -59.92889)",0.0
36,"(-3.08583, -60.02361)",0.0
37,"(-3.12917, -60.02667)",0.0
38,"(-3.05111, -59.99306)",0.0
39,"(-3.11944, -59.98917)",0.0
40,"(-3.06556, -60.01528)",0.0
41,"(-3.10028, -60.02028)",0.0
42,"(-3.10759, -60.05268)",0.0
43,"(-3.08667, -59.99583)",0.0
44,"(-3.11417, -60.01056)",0.0
45,"(-3.08639, -59.98639)",0.0
46,"(-3.08028, -60.0575)",0.0
47,"(-3.03469, -59.9938)",0.0
48,"(-3.07778, -59.99944)",0.0
49,"(-3.1075, -60.045)",0.0
50,"(-3.12833, -60.00361)",0.0
51,"(-3.07889, -60.07028)",0.0
52,"(-3.08167, -60.01361)",0.0
53,"(-3.07611, -60.07889)",0.0
54,"(-3.10861, -60.02361)",0.0
55,"(-3.13444, -60.02944)",0.0
56,"(-3.12611, -60.02361)",0.0
57,"(-3.12444, -59.9975)",0.0
58,"(-3.09639, -60.00111)",0.0
59,"(-3.08778, -60.01694)",0.0
60,"(-3.1025, -59.99806)",0.0
61,"(-3.09222, -60.04556)",0.0
62,"(-3.13639, -60.02472)",0.0
63,"(-3.0875, -60.03222)",0.0
64,"(-3.10917, -60.0125)",0.0
65,"(-3.105, -60.01333)",0.0
66,"(-3.07889, -60.02472)",0.0
67,"(-3.08583, -60.01)",0.0
68,"(-3.12278, -60.01333)",0.0
69,"(-3.11361, -60.01583)",0.0
70,"(-3.09694, -60.01528)",0.0
71,"(-3.10361, -60.02444)",0.0
72,"(-3.10611, -59.99306)",0.0
73,"(-3.10306, -60.05083)",0.0
74,"(-3.11889, -60.04917)",0.0
75,"(-3.11778, -60.0225)",0.0
76,"(-3.13389, -60.01667)",0.0
77,"(-3.09722, -59.99333)",0.0
78,"(-3.10139, -60.06583)",0.0
79,"(-3.13861, -60.02167)",0.0
80,"(-3.126208, -60.015944)",0.0
81,"(-3.0975, -60.05056)",0.0
82,"(-3.117444, -60.011722)",0.0
83,"(-3.01778, -59.94722)",0.0
84,"(-3.12639, -60.02)",0.0
85,"(-3.12111, -60.01889)",0.0
86,"(-3.13056, -60.02111)",0.0
87,"(-3.13278, -60.02361)",0.0
88,"(-3.13611, -60.02028)",0.0
89,"(-3.10028, -60.00639)",0.0
