generations,avg_obj
0,0.18156788357861592
1,0.14362471524142495
2,0.12302191606327884
3,0.10727594873447266
4,0.09443995266613103
5,0.08358656359600543
6,0.07475853764008156
7,0.06576735695741481
8,0.05787128357939168
9,0.05124464504400538
10,0.04500961546874074
11,0.03912958866907757
12,0.03399680332205634
13,0.02918613403482373
14,0.024603972257236154
15,0.020789390687755656
16,0.01727508421500542
17,0.014101199962568757
18,0.011208318711553927
19,0.008824647588722877
20,0.006846963032452078
21,0.004947717965728189
22,0.0033734398073567056
23,0.002098747655710731
24,0.0011076417881433303
25,0.0004824285957804401
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
