,odc_locations,capacities
0,"(-3.0408239999999997, -59.926626)",210
1,"(-3.120938363636364, -60.01355145454546)",462
2,"(-3.06472, -60.04361)",84
3,"(-3.052775, -59.988335)",84
4,"(-3.0833766666666667, -60.00881833333333)",252
5,"(-3.1012065, -60.0558665)",252
6,"(-2.97417, -59.99028)",42
7,"(-3.1019916666666667, -60.00106666666667)",252
8,"(-3.10361, -59.95667)",42
9,"(-3.0840300000000003, -60.05722)",84
10,"(-3.0882528571428574, -60.038177142857144)",222
11,"(-3.00917, -59.99083)",42
12,"(-3.07222, -59.94861)",42
13,"(-3.1334868333333334, -60.02149375)",504
14,"(-3.1029862500000003, -60.01875)",336
15,"(-3.0201866666666666, -59.94629333333334)",126
16,"(-3.03064, -59.98645)",126
17,"(-3.07646, -60.0208325)",168
18,"(-3.118053333333333, -59.99259333333333)",126
19,"(-3.114305, -60.044377499999996)",168
20,"(-3.0828075, -60.0734625)",168
21,"(-3.0911125, -59.991595000000004)",168
