,oru,odc_location
0,1,"(-3.0875, -60.04028)"
1,2,"(-3.0875, -60.04028)"
2,3,"(-3.0875, -60.04028)"
3,4,"(-3.0875, -60.04028)"
4,5,"(-3.0875, -60.04028)"
5,6,"(-3.0875, -60.04028)"
6,7,"(-3.12278, -60.01333)"
7,8,"(-3.12278, -60.01333)"
8,9,"(-3.12278, -60.01333)"
9,10,"(-3.10759, -60.05268)"
10,11,"(-3.10759, -60.05268)"
11,12,"(-3.10759, -60.05268)"
12,13,"(-3.10917, -60.0125)"
13,14,"(-3.10917, -60.0125)"
14,15,"(-3.10917, -60.0125)"
15,16,"(-3.12611, -60.02361)"
16,17,"(-3.12611, -60.02361)"
17,18,"(-3.12611, -60.02361)"
18,19,"(-3.105, -60.01333)"
19,20,"(-3.105, -60.01333)"
20,21,"(-3.105, -60.01333)"
21,22,"(-3.08942, -60.00514)"
22,23,"(-3.08942, -60.00514)"
23,24,"(-3.08942, -60.00514)"
24,25,"(-3.12111, -60.01889)"
25,26,"(-3.12111, -60.01889)"
26,27,"(-3.12111, -60.01889)"
27,28,"(-3.08083, -60.03306)"
28,29,"(-3.08083, -60.03306)"
29,30,"(-3.08083, -60.03306)"
30,31,"(-3.10611, -60.0175)"
31,32,"(-3.10611, -60.0175)"
32,33,"(-3.10611, -60.0175)"
33,34,"(-3.08778, -60.01694)"
34,35,"(-3.08778, -60.01694)"
35,36,"(-3.08778, -60.01694)"
36,37,"(-3.12444, -59.9975)"
37,38,"(-3.12444, -59.9975)"
38,39,"(-3.12444, -59.9975)"
39,40,"(-3.13611, -60.02028)"
40,41,"(-3.13611, -60.02028)"
41,42,"(-3.13611, -60.02028)"
42,43,"(-3.10028, -60.02028)"
43,44,"(-3.10028, -60.02028)"
44,45,"(-3.10028, -60.02028)"
45,46,"(-3.11778, -60.01806)"
46,47,"(-3.11778, -60.01806)"
47,48,"(-3.11778, -60.01806)"
48,49,"(-3.0875, -60.03222)"
49,50,"(-3.0875, -60.03222)"
50,51,"(-3.0875, -60.03222)"
51,52,"(-3.09417, -59.99083)"
52,53,"(-3.09417, -59.99083)"
53,54,"(-3.09417, -59.99083)"
54,55,"(-3.11417, -60.01056)"
55,56,"(-3.11417, -60.01056)"
56,57,"(-3.11417, -60.01056)"
57,58,"(-3.10028, -60.00639)"
58,59,"(-3.10028, -60.00639)"
59,60,"(-3.10028, -60.00639)"
60,61,"(-3.08667, -59.99583)"
61,62,"(-3.08667, -59.99583)"
62,63,"(-3.08667, -59.99583)"
63,64,"(-3.126208, -60.015944)"
64,65,"(-3.126208, -60.015944)"
65,66,"(-3.126208, -60.015944)"
66,67,"(-3.11778, -60.0225)"
67,68,"(-3.11778, -60.0225)"
68,69,"(-3.11778, -60.0225)"
69,70,"(-3.09694, -60.01528)"
70,71,"(-3.09694, -60.01528)"
71,72,"(-3.09694, -60.01528)"
72,73,"(-3.0875, -60.04028)"
73,74,"(-3.0875, -60.04028)"
74,75,"(-3.0875, -60.04028)"
75,76,"(-3.13278, -60.02361)"
76,77,"(-3.13278, -60.02361)"
77,78,"(-3.13278, -60.02361)"
78,79,"(-3.12917, -60.02667)"
79,80,"(-3.12917, -60.02667)"
80,81,"(-3.12917, -60.02667)"
81,82,"(-3.13639, -60.02472)"
82,83,"(-3.13639, -60.02472)"
83,84,"(-3.13639, -60.02472)"
84,85,"(-3.13056, -60.02111)"
85,86,"(-3.13056, -60.02111)"
86,87,"(-3.13056, -60.02111)"
87,88,"(-3.10361, -60.02444)"
88,89,"(-3.10361, -60.02444)"
89,90,"(-3.10361, -60.02444)"
90,91,"(-3.13444, -60.02944)"
91,92,"(-3.13444, -60.02944)"
92,93,"(-3.13444, -60.02944)"
93,94,"(-3.11028, -59.99111)"
94,95,"(-3.11028, -59.99111)"
95,96,"(-3.11028, -59.99111)"
96,97,"(-3.1075, -60.045)"
97,98,"(-3.1075, -60.045)"
98,99,"(-3.1075, -60.045)"
99,100,"(-3.12833, -60.00361)"
100,101,"(-3.12833, -60.00361)"
101,102,"(-3.12833, -60.00361)"
102,103,"(-3.13389, -60.01667)"
103,104,"(-3.13389, -60.01667)"
104,105,"(-3.13389, -60.01667)"
105,106,"(-3.08583, -60.02361)"
