,oru,odc_location
0,1,"(-5.7532499999999995, -35.2508775)"
1,2,"(-5.7532499999999995, -35.2508775)"
2,3,"(-5.7532499999999995, -35.2508775)"
3,4,"(-5.8118645454545454, -35.200224545454546)"
4,5,"(-5.8118645454545454, -35.200224545454546)"
5,6,"(-5.8118645454545454, -35.200224545454546)"
6,7,"(-5.8118645454545454, -35.200224545454546)"
7,8,"(-5.8118645454545454, -35.200224545454546)"
8,9,"(-5.8118645454545454, -35.200224545454546)"
9,10,"(-5.8118645454545454, -35.200224545454546)"
10,11,"(-5.8118645454545454, -35.200224545454546)"
11,12,"(-5.7999, -35.208026)"
12,13,"(-5.7999, -35.208026)"
13,14,"(-5.7999, -35.208026)"
14,15,"(-5.7999, -35.208026)"
15,16,"(-5.7999, -35.208026)"
16,17,"(-5.7999, -35.208026)"
17,18,"(-5.8798455, -35.178231499999995)"
18,19,"(-5.8798455, -35.178231499999995)"
19,20,"(-5.8798455, -35.178231499999995)"
20,21,"(-5.8672655, -35.180805)"
21,22,"(-5.8672655, -35.180805)"
22,23,"(-5.8672655, -35.180805)"
23,24,"(-5.8636376666666665, -35.194057666666666)"
24,25,"(-5.8636376666666665, -35.194057666666666)"
25,26,"(-5.8636376666666665, -35.194057666666666)"
26,27,"(-5.7866988, -35.1987928)"
27,28,"(-5.7866988, -35.1987928)"
28,29,"(-5.7866988, -35.1987928)"
29,30,"(-5.805, -35.182779999999994)"
30,31,"(-5.805, -35.182779999999994)"
31,32,"(-5.805, -35.182779999999994)"
32,33,"(-5.81840225, -35.214333)"
33,34,"(-5.81840225, -35.214333)"
34,35,"(-5.81840225, -35.214333)"
35,36,"(-5.81840225, -35.214333)"
36,37,"(-5.81840225, -35.214333)"
37,38,"(-5.81840225, -35.214333)"
38,39,"(-5.77506025, -35.1996245)"
39,40,"(-5.77506025, -35.1996245)"
40,41,"(-5.77506025, -35.1996245)"
41,42,"(-5.83528, -35.182085)"
42,43,"(-5.83528, -35.182085)"
43,44,"(-5.83528, -35.182085)"
44,45,"(-5.8290274, -35.2067728)"
45,46,"(-5.8290274, -35.2067728)"
46,47,"(-5.8290274, -35.2067728)"
47,48,"(-5.7999, -35.208026)"
48,49,"(-5.7999, -35.208026)"
49,50,"(-5.7999, -35.208026)"
50,51,"(-5.7866988, -35.1987928)"
51,52,"(-5.7866988, -35.1987928)"
52,53,"(-5.7866988, -35.1987928)"
53,54,"(-5.7866988, -35.1987928)"
54,55,"(-5.7866988, -35.1987928)"
55,56,"(-5.7866988, -35.1987928)"
56,57,"(-5.77506025, -35.1996245)"
57,58,"(-5.77506025, -35.1996245)"
58,59,"(-5.77506025, -35.1996245)"
59,60,"(-5.7999, -35.208026)"
60,61,"(-5.7999, -35.208026)"
61,62,"(-5.7999, -35.208026)"
62,63,"(-5.8636376666666665, -35.194057666666666)"
63,64,"(-5.8636376666666665, -35.194057666666666)"
64,65,"(-5.8636376666666665, -35.194057666666666)"
65,66,"(-5.83528, -35.182085)"
66,67,"(-5.83528, -35.182085)"
67,68,"(-5.83528, -35.182085)"
68,69,"(-5.7999, -35.208026)"
69,70,"(-5.7999, -35.208026)"
70,71,"(-5.7999, -35.208026)"
71,72,"(-5.7866988, -35.1987928)"
72,73,"(-5.7866988, -35.1987928)"
73,74,"(-5.7866988, -35.1987928)"
74,75,"(-5.8118645454545454, -35.200224545454546)"
75,76,"(-5.8118645454545454, -35.200224545454546)"
76,77,"(-5.8118645454545454, -35.200224545454546)"
77,78,"(-5.81840225, -35.214333)"
78,79,"(-5.81840225, -35.214333)"
79,80,"(-5.81840225, -35.214333)"
80,81,"(-5.8290274, -35.2067728)"
81,82,"(-5.8290274, -35.2067728)"
82,83,"(-5.8290274, -35.2067728)"
83,84,"(-5.84615, -35.20790825)"
84,85,"(-5.84615, -35.20790825)"
85,86,"(-5.84615, -35.20790825)"
86,87,"(-5.77506025, -35.1996245)"
87,88,"(-5.77506025, -35.1996245)"
88,89,"(-5.77506025, -35.1996245)"
89,90,"(-5.81840225, -35.214333)"
90,91,"(-5.81840225, -35.214333)"
91,92,"(-5.81840225, -35.214333)"
92,93,"(-5.8798455, -35.178231499999995)"
93,94,"(-5.8798455, -35.178231499999995)"
94,95,"(-5.8798455, -35.178231499999995)"
95,96,"(-5.8672655, -35.180805)"
96,97,"(-5.8672655, -35.180805)"
97,98,"(-5.8672655, -35.180805)"
98,99,"(-5.8768045, -35.2030395)"
99,100,"(-5.8768045, -35.2030395)"
100,101,"(-5.8768045, -35.2030395)"
101,102,"(-5.8768045, -35.2030395)"
102,103,"(-5.8768045, -35.2030395)"
103,104,"(-5.8768045, -35.2030395)"
104,105,"(-5.7866988, -35.1987928)"
105,106,"(-5.7866988, -35.1987928)"
106,107,"(-5.7866988, -35.1987928)"
107,108,"(-5.850163666666667, -35.26268433333333)"
108,109,"(-5.850163666666667, -35.26268433333333)"
109,110,"(-5.850163666666667, -35.26268433333333)"
110,111,"(-5.7621795, -35.276971)"
111,112,"(-5.7621795, -35.276971)"
112,113,"(-5.7621795, -35.276971)"
113,114,"(-5.729443666666667, -35.25619066666667)"
114,115,"(-5.729443666666667, -35.25619066666667)"
115,116,"(-5.729443666666667, -35.25619066666667)"
116,117,"(-5.74278056, -35.28944444)"
117,118,"(-5.74278056, -35.28944444)"
118,119,"(-5.74278056, -35.28944444)"
119,120,"(-5.729443666666667, -35.25619066666667)"
120,121,"(-5.729443666666667, -35.25619066666667)"
121,122,"(-5.729443666666667, -35.25619066666667)"
122,123,"(-5.8798455, -35.178231499999995)"
123,124,"(-5.8798455, -35.178231499999995)"
124,125,"(-5.8798455, -35.178231499999995)"
125,126,"(-5.729443666666667, -35.25619066666667)"
126,127,"(-5.729443666666667, -35.25619066666667)"
127,128,"(-5.729443666666667, -35.25619066666667)"
128,129,"(-5.7621795, -35.276971)"
129,130,"(-5.7621795, -35.276971)"
130,131,"(-5.7621795, -35.276971)"
131,132,"(-5.850163666666667, -35.26268433333333)"
132,133,"(-5.850163666666667, -35.26268433333333)"
133,134,"(-5.850163666666667, -35.26268433333333)"
134,135,"(-5.805, -35.182779999999994)"
135,136,"(-5.805, -35.182779999999994)"
136,137,"(-5.805, -35.182779999999994)"
137,138,"(-5.84615, -35.20790825)"
138,139,"(-5.84615, -35.20790825)"
139,140,"(-5.84615, -35.20790825)"
140,141,"(-5.8636376666666665, -35.194057666666666)"
141,142,"(-5.8636376666666665, -35.194057666666666)"
142,143,"(-5.8636376666666665, -35.194057666666666)"
143,144,"(-5.8290274, -35.2067728)"
144,145,"(-5.8290274, -35.2067728)"
145,146,"(-5.8290274, -35.2067728)"
146,147,"(-5.77506025, -35.1996245)"
147,148,"(-5.77506025, -35.1996245)"
148,149,"(-5.77506025, -35.1996245)"
149,150,"(-5.7532499999999995, -35.2508775)"
150,151,"(-5.7532499999999995, -35.2508775)"
151,152,"(-5.7532499999999995, -35.2508775)"
152,153,"(-5.8290274, -35.2067728)"
153,154,"(-5.8290274, -35.2067728)"
154,155,"(-5.8290274, -35.2067728)"
155,156,"(-5.8290274, -35.2067728)"
156,157,"(-5.8290274, -35.2067728)"
157,158,"(-5.8290274, -35.2067728)"
158,159,"(-5.84615, -35.20790825)"
159,160,"(-5.84615, -35.20790825)"
160,161,"(-5.84615, -35.20790825)"
161,162,"(-5.8798455, -35.178231499999995)"
162,163,"(-5.8798455, -35.178231499999995)"
163,164,"(-5.8798455, -35.178231499999995)"
164,165,"(-5.84615, -35.20790825)"
165,166,"(-5.84615, -35.20790825)"
166,167,"(-5.84615, -35.20790825)"
167,168,"(-5.850163666666667, -35.26268433333333)"
168,169,"(-5.850163666666667, -35.26268433333333)"
169,170,"(-5.850163666666667, -35.26268433333333)"
