,odc_locations,capacities
0,"(-5.728503, -35.266558)",42
1,"(-5.8211095, -35.200444000000005)",84
2,"(-5.8636376666666665, -35.194057666666666)",126
3,"(-5.8536105, -35.257501500000004)",84
4,"(-5.786887, -35.192542)",84
5,"(-5.7621795, -35.276971)",84
6,"(-5.830312, -35.207896500000004)",168
7,"(-5.8782104, -35.1788072)",210
8,"(-5.755528, -35.245867)",42
9,"(-5.81840225, -35.214333)",168
10,"(-5.7890733333333335, -35.206849999999996)",126
11,"(-5.8020274999999994, -35.207254999999996)",168
12,"(-5.84139, -35.18167)",42
13,"(-5.8768045, -35.2030395)",84
14,"(-5.84615, -35.20790825)",168
15,"(-5.735797, -35.254392)",42
16,"(-5.74278056, -35.28944444)",42
17,"(-5.81167, -35.18167)",42
18,"(-5.780553333333334, -35.19972)",126
19,"(-5.84327, -35.27305)",42
20,"(-5.724031, -35.247622)",42
21,"(-5.79833, -35.18389)",42
22,"(-5.862861, -35.1805)",42
23,"(-5.7712354999999995, -35.199389)",84
24,"(-5.82917, -35.1825)",42
25,"(-5.750972, -35.255888)",42
26,"(-5.80944, -35.20083)",47
