cell_site_id,emission_designation,technology,tx_frequency,rx_frequency,azimuth,antenna_gain,back_front_relation,hpa,mechanical_elevation,polarization,antenna_height,tx_power,latitude,longitude,cell_carrier_id,operator
692965726,100MG7W,NR,3550.0,3550.0,,,,,,,,,-20.014528,-44.0265,3106200000000,TIM S A
379992493,100MG7W,NR,3550.0,3550.0,,,,,,,,,-19.931689,-43.991675,3106200000001,TIM S A
637097980,100MG7W,NR,3450.0,3450.0,,,,,,,,,-19.91889,-43.93417,3106200000002,TELEFONICA BRASIL S.A.
684065100,100MG7W,NR,3550.0,3550.0,,,,,,,,,-19.923861,-43.941444,3106200000003,TIM S A
535817835,5M00G7W,NR,2152.5,1962.5,,,,,,,,,-19.866411,-43.908681,3106200000004,TELEFONICA BRASIL S.A.
1016368574,100MG7W,NR,3450.0,3450.0,,,,,,,,,-19.94311,-43.95488,3106200000005,TELEFONICA BRASIL S.A.
687525748,10M0G7W,NR,2117.5,1927.5,,,,,,,,,-19.938,-43.9359,3106200000006,CLARO S.A.
684900416,100MG7W,NR,3550.0,3550.0,,,,,,,,,-19.873139,-43.964,3106200000007,TIM S A
687455740,100MG7W,NR,3350.0,3350.0,,,,,,,,,-19.9165,-43.9378,3106200000008,CLARO S.A.
1004010807,100MG7W,NR,3350.0,3350.0,,,,,,,,,-19.94758,-43.91819,3106200000009,CLARO S.A.
623288699,100MG7W,NR,3450.0,3450.0,,,,,,,,,-19.91944,-43.94472,3106200000010,TELEFONICA BRASIL S.A.
687525748,100MG7W,NR,3350.0,3350.0,,,,,,,,,-19.938,-43.9359,3106200000011,CLARO S.A.
687231469,100MG7W,NR,3350.0,3350.0,,,,,,,,,-19.8986,-44.0238,3106200000012,CLARO S.A.
697659615,100MG7W,NR,3350.0,3350.0,,,,,,,,,-19.97561,-43.96433,3106200000013,CLARO S.A.
1009883507,5M00G7W,NR,2152.5,1962.5,,,,,,,,,-19.91278,-43.91556,3106200000014,TELEFONICA BRASIL S.A.
1009883507,100MG7W,NR,3450.0,3450.0,,,,,,,,,-19.91278,-43.91556,3106200000015,TELEFONICA BRASIL S.A.
687526035,100MG7W,NR,3350.0,3350.0,,,,,,,,,-19.9366,-43.9271,3106200000016,CLARO S.A.
379983419,100MG7W,NR,3550.0,3550.0,,,,,,,,,-19.937028,-43.936917,3106200000017,TIM S A
1017184868,100MG7W,NR,3450.0,3450.0,,,,,,,,,-19.94772,-43.94245,3106200000018,TELEFONICA BRASIL S.A.
535817835,100MG7W,NR,3450.0,3450.0,,,,,,,,,-19.866411,-43.908681,3106200000019,TELEFONICA BRASIL S.A.
684071452,100MG7W,NR,3550.0,3550.0,,,,,,,,,-19.921167,-43.922889,3106200000020,TIM S A
1003694494,10M0G7W,NR,2140.0,1950.0,,,,,,,,,-19.93573,-43.93177,3106200000021,CLARO S.A.
692966293,100MG7W,NR,3550.0,3550.0,,,,,,,,,-19.923361,-43.938611,3106200000022,TIM S A
684064294,100MG7W,NR,3550.0,3550.0,,,,,,,,,-19.937417,-43.932167,3106200000023,TIM S A
687525748,10M0G7W,NR,2140.0,1950.0,,,,,,,,,-19.938,-43.9359,3106200000024,CLARO S.A.
1010247104,100MG7W,NR,3450.0,3450.0,,,,,,,,,-19.916861,-43.903333,3106200000025,TELEFONICA BRASIL S.A.
699106311,5M00G7W,NR,2152.5,1962.5,,,,,,,,,-19.89528,-43.99472,3106200000026,TELEFONICA BRASIL S.A.
1005544511,100MG7W,NR,3550.0,3550.0,,,,,,,,,-19.8135,-43.992833,3106200000027,TIM S A
1010504719,100MG7W,NR,3550.0,3550.0,,,,,,,,,-19.96972,-43.96528,3106200000028,TIM S A
1015195633,100MG7W,NR,3550.0,3550.0,,,,,,,,,-19.971194,-43.940639,3106200000029,TIM S A
697621057,100MG7W,NR,3450.0,3450.0,,,,,,,,,-19.86194,-43.96889,3106200000030,TELEFONICA BRASIL S.A.
379992426,10M0G7W,NR,2370.0,2370.0,,,,,,,,,-19.962167,-43.979778,3106200000031,TIM S A
