cell_site_id,emission_designation,technology,tx_frequency,rx_frequency,azimuth,antenna_gain,back_front_relation,hpa,mechanical_elevation,polarization,antenna_height,tx_power,latitude,longitude,cell_carrier_id,operator
1005537949,100MG7W,NR,3350,3350,,,,,,,,,-20.53529,-54.64789,5002704000000,CLARO S.A.
693135875,100MG7W,NR,3350,3350,,,,,,,,,-20.4931,-54.61532,5002704000001,CLARO S.A.
1016834940,100MG7W,NR,3450,3450,,,,,,,,,-20.4403,-54.67038,5002704000002,TELEFONICA BRASIL S.A.
1016581243,100MG7W,NR,3450,3450,,,,,,,,,-20.455069,-54.564111,5002704000003,TELEFONICA BRASIL S.A.
1007652591,100MG7W,NR,3550,3550,,,,,,,,,-20.419972,-54.549472,5002704000004,TIM S A
1009050017,100MG7W,NR,3550,3550,,,,,,,,,-20.525778,-54.58075,5002704000005,TIM S A
684666030,100MG7W,NR,3450,3450,,,,,,,,,-20.424558,-54.590117,5002704000006,TELEFONICA BRASIL S.A.
682614521,100MG7W,NR,3550,3550,,,,,,,,,-20.460356,-54.608464,5002704000007,TIM S A
1008007266,100MG7W,NR,3550,3550,,,,,,,,,-20.54611,-54.64861,5002704000008,TIM S A
1008007266,100MG7W,NR,3550,3550,,,,,,,,,-20.54611,-54.64861,5002704000009,TIM S A
1000730864,100MG7W,NR,3350,3350,,,,,,,,,-20.51265,-54.63004,5002704000010,CLARO S.A.
1016703160,100MG7W,NR,3450,3450,,,,,,,,,-20.492722,-54.653806,5002704000011,TELEFONICA BRASIL S.A.
1017124164,100MG7W,NR,3450,3450,,,,,,,,,-20.4422,-54.6101,5002704000012,TELEFONICA BRASIL S.A.
1002587694,100MG7W,NR,3350,3350,,,,,,,,,-20.471,-54.616,5002704000013,CLARO S.A.
683598660,100MG7W,NR,3550,3550,,,,,,,,,-20.553,-54.576806,5002704000014,TIM S A
698124995,100MG7W,NR,3350,3350,,,,,,,,,-20.44383,-54.61282,5002704000015,CLARO S.A.
683023071,100MG7W,NR,3550,3550,,,,,,,,,-20.457111,-54.695028,5002704000016,TIM S A
690945973,50M0G7W,NR,2325,2325,,,,,,,,,-20.50895,-54.66663,5002704000017,CLARO S.A.
1016361472,100MG7W,NR,3350,3350,,,,,,,,,-20.43737,-54.54204,5002704000018,CLARO S.A.
1008007282,100MG7W,NR,3550,3550,,,,,,,,,-20.51,-54.59194,5002704000019,TIM S A
1015599572,100MG7W,NR,3550,3550,,,,,,,,,-20.519,-54.615444,5002704000020,TIM S A
683023071,100MG7W,NR,3550,3550,,,,,,,,,-20.457111,-54.695028,5002704000021,TIM S A
1009450732,100MG7W,NR,3350,3350,,,,,,,,,-20.49406,-54.56823,5002704000022,CLARO S.A.
1008007312,100MG7W,NR,3550,3550,,,,,,,,,-20.545167,-54.612556,5002704000023,TIM S A
1009450732,100MG7W,NR,3350,3350,,,,,,,,,-20.49406,-54.56823,5002704000024,CLARO S.A.
1009439259,100MG7W,NR,3350,3350,,,,,,,,,-20.46216,-54.60295,5002704000025,CLARO S.A.
1000553466,100MG7W,NR,3450,3450,,,,,,,,,-20.37693,-54.56793,5002704000026,TELEFONICA BRASIL S.A.
1002719833,100MG7W,NR,3450,3450,,,,,,,,,-20.470158,-54.5979,5002704000027,TELEFONICA BRASIL S.A.
1008813513,100MG7W,NR,3550,3550,,,,,,,,,-20.477778,-54.658583,5002704000028,TIM S A
685039650,100MG7W,NR,3350,3350,,,,,,,,,-20.4173,-54.5636,5002704000029,CLARO S.A.
684855844,100MG7W,NR,3550,3550,,,,,,,,,-20.448611,-54.615611,5002704000030,TIM S A
1007566229,100MG7W,NR,3450,3450,,,,,,,,,-20.543492,-54.611592,5002704000031,TELEFONICA BRASIL S.A.
1001619991,100MG7W,NR,3550,3550,,,,,,,,,-20.546833,-54.592111,5002704000032,TIM S A
1010098214,100MG7W,NR,3450,3450,,,,,,,,,-20.431556,-54.562556,5002704000033,TELEFONICA BRASIL S.A.
82910,100MG7W,NR,3450,3450,,,,,,,,,-20.458056,-54.614833,5002704000034,TELEFONICA BRASIL S.A.
695705474,100MG7W,NR,3350,3350,,,,,,,,,-20.45645,-54.5923,5002704000035,CLARO S.A.
692656111,100MG7W,NR,3350,3350,,,,,,,,,-20.46045,-54.62261,5002704000036,CLARO S.A.
684656043,100MG7W,NR,3450,3450,,,,,,,,,-20.499533,-54.60625,5002704000037,TELEFONICA BRASIL S.A.
687534747,100MG7W,NR,3350,3350,,,,,,,,,-20.4325,-54.5835,5002704000038,CLARO S.A.
1016392602,100MG7W,NR,3350,3350,,,,,,,,,-20.45519,-54.59712,5002704000039,CLARO S.A.
684656043,100MG7W,NR,3450,3450,,,,,,,,,-20.499533,-54.60625,5002704000040,TELEFONICA BRASIL S.A.
1010814955,50M0G7W,NR,2325,2325,,,,,,,,,-20.49944,-54.60622,5002704000041,CLARO S.A.
1013204678,100MG7W,NR,3550,3550,,,,,,,,,-20.45333,-54.665,5002704000042,TIM S A
1014471459,100MG7W,NR,3550,3550,,,,,,,,,-20.437528,-54.5425,5002704000043,TIM S A
1011368924,100MG7W,NR,3450,3450,,,,,,,,,-20.502961,-54.657069,5002704000044,TELEFONICA BRASIL S.A.
1013204104,100MG7W,NR,3550,3550,,,,,,,,,-20.462669,-54.594448,5002704000045,TIM S A
684649004,100MG7W,NR,3450,3450,,,,,,,,,-20.49278,-54.66944,5002704000046,TELEFONICA BRASIL S.A.
1017373814,100MG7W,NR,3350,3350,,,,,,,,,-20.49984,-54.57075,5002704000047,CLARO S.A.
1007816748,100MG7W,NR,3450,3450,,,,,,,,,-20.430381,-54.629431,5002704000048,TELEFONICA BRASIL S.A.
1017124199,100MG7W,NR,3450,3450,,,,,,,,,-20.44688,-54.65747,5002704000049,TELEFONICA BRASIL S.A.
1017578912,100MG7W,NR,3350,3350,,,,,,,,,-20.55629,-54.60826,5002704000050,CLARO S.A.
1014472048,100MG7W,NR,3550,3550,,,,,,,,,-20.43155556,-54.56255556,5002704000051,TIM S A
1017124245,100MG7W,NR,3450,3450,,,,,,,,,-20.5267,-54.5938,5002704000052,TELEFONICA BRASIL S.A.
