cell_site_id,emission_designation,technology,tx_frequency,rx_frequency,azimuth,antenna_gain,back_front_relation,hpa,mechanical_elevation,polarization,antenna_height,tx_power,latitude,longitude,cell_carrier_id,operator
1002595735,100MG7W,NR,3550.0,3550.0,,,,,,,,,-25.428944,-49.264417,4106902000000,TIM S A
1007016423,10M0G7W,NR,788.0,733.0,,,,,,,,,-25.416056,-49.271111,4106902000001,TELEFONICA BRASIL S.A.
431353905,100MG7W,NR,3550.0,3550.0,,,,,,,,,-25.4875,-49.228333,4106902000002,TIM S A
1007016423,10M0G7W,NR,788.0,733.0,,,,,,,,,-25.416056,-49.271111,4106902000003,TELEFONICA BRASIL S.A.
688972187,100MG7W,NR,3550.0,3550.0,,,,,,,,,-25.438017,-49.268081,4106902000004,TIM S A
688972187,100MG7W,NR,3550.0,3550.0,,,,,,,,,-25.438017,-49.268081,4106902000005,TIM S A
688972187,100MG7W,NR,3550.0,3550.0,,,,,,,,,-25.438017,-49.268081,4106902000006,TIM S A
683933930,50M0G7W,NR,2325.0,2325.0,,,,,,,,,-25.41891,-49.26465,4106902000007,CLARO S.A.
1004216669,100MG7W,NR,3350.0,3350.0,,,,,,,,,-25.54479,-49.2544,4106902000008,CLARO S.A.
443183406,100MG7W,NR,3450.0,3450.0,,,,,,,,,-25.434722,-49.266111,4106902000009,TELEFONICA BRASIL S.A.
1002595735,100MG7W,NR,3550.0,3550.0,,,,,,,,,-25.428944,-49.264417,4106902000010,TIM S A
641071272,10M0G7W,NR,2370.0,2370.0,,,,,,,,,-25.412929,-49.258823,4106902000011,TIM S A
4724291,100MG7W,NR,3550.0,3550.0,,,,,,,,,-25.413942,-49.280768,4106902000012,TIM S A
4726456,100MG7W,NR,3550.0,3550.0,,,,,,,,,-25.454922,-49.2707,4106902000013,TIM S A
1000633508,100MG7W,NR,3550.0,3550.0,,,,,,,,,-25.488139,-49.253917,4106902000014,TIM S A
1000791162,10M0G7W,NR,2370.0,2370.0,,,,,,,,,-25.451111,-49.229139,4106902000015,TIM S A
431353824,100MG7W,NR,3550.0,3550.0,,,,,,,,,-25.4025,-49.310278,4106902000016,TIM S A
431353824,100MG7W,NR,3550.0,3550.0,,,,,,,,,-25.4025,-49.310278,4106902000017,TIM S A
1000633508,100MG7W,NR,3550.0,3550.0,,,,,,,,,-25.488139,-49.253917,4106902000018,TIM S A
431366810,100MG7W,NR,3550.0,3550.0,,,,,,,,,-25.44125,-49.277,4106902000019,TIM S A
1000633508,100MG7W,NR,3550.0,3550.0,,,,,,,,,-25.488139,-49.253917,4106902000020,TIM S A
431353824,100MG7W,NR,3550.0,3550.0,,,,,,,,,-25.4025,-49.310278,4106902000021,TIM S A
4724291,100MG7W,NR,3550.0,3550.0,,,,,,,,,-25.413942,-49.280768,4106902000022,TIM S A
