cell_site_id,emission_designation,technology,tx_frequency,rx_frequency,azimuth,antenna_gain,back_front_relation,hpa,mechanical_elevation,polarization,antenna_height,tx_power,latitude,longitude,cell_carrier_id,operator
683790331,100MG7W,NR,3350.0,3350.0,,,,,,,,,-27.43373,-48.39991,4205407000000,CLARO S.A.
1005097906,100MG7W,NR,3350.0,3350.0,,,,,,,,,-27.48532,-48.41703,4205407000001,CLARO S.A.
1007425099,100MG7W,NR,3450.0,3450.0,,,,,,,,,-27.59694,-48.55306,4205407000002,TELEFONICA BRASIL S.A.
1014343000,10M0G7W,NR,2370.0,2370.0,,,,,,,,,-27.672778,-48.546111,4205407000003,TIM S A
695469223,100MG7W,NR,3550.0,3550.0,,,,,,,,,-27.489475,-48.535478,4205407000004,TIM S A
436298090,100MG7W,NR,3550.0,3550.0,,,,,,,,,-27.584733,-48.580961,4205407000005,TIM S A
1009443094,100MG7W,NR,3550.0,3550.0,,,,,,,,,-27.433806,-48.460556,4205407000006,TIM S A
436298090,100MG7W,NR,3550.0,3550.0,,,,,,,,,-27.584733,-48.580961,4205407000007,TIM S A
323650430,100MG7W,NR,3550.0,3550.0,,,,,,,,,-27.584833,-48.602861,4205407000008,TIM S A
323656650,100MG7W,NR,3550.0,3550.0,,,,,,,,,-27.438778,-48.387472,4205407000009,TIM S A
1008093065,100MG7W,NR,3550.0,3550.0,,,,,,,,,-27.761493,-48.573407,4205407000010,TIM S A
517457660,100MG7W,NR,3550.0,3550.0,,,,,,,,,-27.429056,-48.458722,4205407000011,TIM S A
323656650,100MG7W,NR,3550.0,3550.0,,,,,,,,,-27.438778,-48.387472,4205407000012,TIM S A
1008990261,100MG7W,NR,3450.0,3450.0,,,,,,,,,-27.59222,-48.54472,4205407000013,TELEFONICA BRASIL S.A.
1007265059,100MG7W,NR,3450.0,3450.0,,,,,,,,,-27.59694,-48.55333,4205407000014,TELEFONICA BRASIL S.A.
431353808,100MG7W,NR,3550.0,3550.0,,,,,,,,,-27.60639,-48.57722,4205407000015,TIM S A
1005884630,100MG7W,NR,3550.0,3550.0,,,,,,,,,-27.5375,-48.5275,4205407000016,TIM S A
1012027225,100MG7W,NR,3450.0,3450.0,,,,,,,,,-27.453778,-48.381083,4205407000017,TELEFONICA BRASIL S.A.
1011695836,100MG7W,NR,3450.0,3450.0,,,,,,,,,-27.66711,-48.53234,4205407000018,TELEFONICA BRASIL S.A.
5342570,100MG7W,NR,3550.0,3550.0,,,,,,,,,-27.44,-48.419472,4205407000019,TIM S A
431354219,100MG7W,NR,3550.0,3550.0,,,,,,,,,-27.594278,-48.571722,4205407000020,TIM S A
1012027225,100MG7W,NR,3450.0,3450.0,,,,,,,,,-27.453778,-48.381083,4205407000021,TELEFONICA BRASIL S.A.
1015141614,100MG7W,NR,3350.0,3350.0,,,,,,,,,-27.59608,-48.59965,4205407000022,CLARO S.A.
1017538856,100MG7W,NR,3350.0,3350.0,,,,,,,,,-27.68874,-48.5541,4205407000023,CLARO S.A.
684719711,100MG7W,NR,3550.0,3550.0,,,,,,,,,-27.595278,-48.553917,4205407000024,TIM S A
1009143961,100MG7W,NR,3550.0,3550.0,,,,,,,,,-27.44639,-48.37861,4205407000025,TIM S A
1016225897,100MG7W,NR,3450.0,3450.0,,,,,,,,,-27.596,-48.574722,4205407000026,TELEFONICA BRASIL S.A.
1015872619,100MG7W,NR,3450.0,3450.0,,,,,,,,,-27.391116,-48.422126,4205407000027,TELEFONICA BRASIL S.A.
699839432,100MG7W,NR,3450.0,3450.0,,,,,,,,,-27.43417,-48.46056,4205407000028,TELEFONICA BRASIL S.A.
431353700,100MG7W,NR,3550.0,3550.0,,,,,,,,,-27.590722,-48.561306,4205407000029,TIM S A
1014214022,100MG7W,NR,3350.0,3350.0,,,,,,,,,-27.59001,-48.53369,4205407000030,CLARO S.A.
683793381,100MG7W,NR,3350.0,3350.0,,,,,,,,,-27.59926,-48.57986,4205407000031,CLARO S.A.
