cell_site_id,emission_designation,technology,tx_frequency,rx_frequency,azimuth,antenna_gain,back_front_relation,hpa,mechanical_elevation,polarization,antenna_height,tx_power,latitude,longitude,cell_carrier_id,operator
1017508418,100MG7W,NR,3350.0,3350.0,,,,,,,,,-16.61837,-49.24354,5208707000000,CLARO S.A.
1015856664,100MG7W,NR,3550.0,3550.0,,,,,,,,,-16.675556,-49.318306,5208707000001,TIM S A
1006652423,100MG7W,NR,3450.0,3450.0,,,,,,,,,-16.61611,-49.32306,5208707000002,TELEFONICA BRASIL S.A.
1004010467,100MG7W,NR,3450.0,3450.0,,,,,,,,,-16.624028,-49.292806,5208707000003,TELEFONICA BRASIL S.A.
1013250700,100MG7W,NR,3550.0,3550.0,,,,,,,,,-16.70528,-49.26194,5208707000004,TIM S A
659061511,100MG7W,NR,3550.0,3550.0,,,,,,,,,-16.714694,-49.288306,5208707000005,TIM S A
1000722837,100MG7W,NR,3350.0,3350.0,,,,,,,,,-16.71315,-49.2475,5208707000006,CLARO S.A.
1012174910,100MG7W,NR,3450.0,3450.0,,,,,,,,,-16.587972,-49.211719,5208707000007,TELEFONICA BRASIL S.A.
4740750,10M0G7W,NR,2160.0,1970.0,,,,,,,,,-16.604514,-49.329483,5208707000008,TELEFONICA BRASIL S.A.
1009547426,10M0G7W,NR,2160.0,1970.0,,,,,,,,,-16.704717,-49.233086,5208707000009,TELEFONICA BRASIL S.A.
685031691,100MG7W,NR,3350.0,3350.0,,,,,,,,,-16.69679,-49.24685,5208707000010,CLARO S.A.
691089116,50M0G7W,NR,2325.0,2325.0,,,,,,,,,-16.6954,-49.2655,5208707000011,CLARO S.A.
698126661,100MG7W,NR,3350.0,3350.0,,,,,,,,,-16.71271,-49.27297,5208707000012,CLARO S.A.
1017549289,100MG7W,NR,3350.0,3350.0,,,,,,,,,-16.634,-49.23771,5208707000013,CLARO S.A.
1016181199,10M0G7W,NR,2160.0,1970.0,,,,,,,,,-16.5972,-49.31518,5208707000014,TELEFONICA BRASIL S.A.
523292457,100MG7W,NR,3450.0,3450.0,,,,,,,,,-16.64203,-49.30881,5208707000015,TELEFONICA BRASIL S.A.
699114209,10M0G7W,NR,2160.0,1970.0,,,,,,,,,-16.708,-49.280444,5208707000016,TELEFONICA BRASIL S.A.
691370281,100MG7W,NR,3450.0,3450.0,,,,,,,,,-16.757111,-49.347611,5208707000017,TELEFONICA BRASIL S.A.
1015005702,20M0G7W,NR,2370.0,2370.0,,,,,,,,,-16.714319,-49.2233,5208707000018,TELEFONICA BRASIL S.A.
685085627,100MG7W,NR,3550.0,3550.0,,,,,,,,,-16.589222,-49.375111,5208707000019,TIM S A
697747603,100MG7W,NR,3450.0,3450.0,,,,,,,,,-16.743194,-49.319056,5208707000020,TELEFONICA BRASIL S.A.
695226584,50M0G7W,NR,2325.0,2325.0,,,,,,,,,-16.69106,-49.32013,5208707000021,CLARO S.A.
686210530,50M0G7W,NR,2325.0,2325.0,,,,,,,,,-16.7076,-49.2732,5208707000022,CLARO S.A.
691370281,100MG7W,NR,3450.0,3450.0,,,,,,,,,-16.757111,-49.347611,5208707000023,TELEFONICA BRASIL S.A.
689843798,50M0G7W,NR,2325.0,2325.0,,,,,,,,,-16.6751,-49.254,5208707000024,CLARO S.A.
4740912,10M0G7W,NR,2160.0,1970.0,,,,,,,,,-16.665833,-49.241133,5208707000025,TELEFONICA BRASIL S.A.
1008807289,100MG7W,NR,3450.0,3450.0,,,,,,,,,-16.709819,-49.241731,5208707000026,TELEFONICA BRASIL S.A.
1008602016,100MG7W,NR,3550.0,3550.0,,,,,,,,,-16.625014,-49.317339,5208707000027,TIM S A
1008040549,100MG7W,NR,3450.0,3450.0,,,,,,,,,-16.701783,-49.252917,5208707000028,TELEFONICA BRASIL S.A.
4740580,5M00G7W,NR,2167.5,1977.5,,,,,,,,,-16.69667,-49.26528,5208707000029,TELEFONICA BRASIL S.A.
1012354064,50M0G7W,NR,2325.0,2325.0,,,,,,,,,-16.69466,-49.27048,5208707000030,CLARO S.A.
1010098222,100MG7W,NR,3450.0,3450.0,,,,,,,,,-16.67944,-49.27833,5208707000031,TELEFONICA BRASIL S.A.
1009238156,100MG7W,NR,3550.0,3550.0,,,,,,,,,-16.630056,-49.353278,5208707000032,TIM S A
1010217329,100MG7W,NR,3450.0,3450.0,,,,,,,,,-16.589117,-49.375192,5208707000033,TELEFONICA BRASIL S.A.
1005433221,100MG7W,NR,3550.0,3550.0,,,,,,,,,-16.656417,-49.316417,5208707000034,TIM S A
1012640601,100MG7W,NR,3350.0,3350.0,,,,,,,,,-16.59296,-49.20526,5208707000035,CLARO S.A.
1013251064,100MG7W,NR,3550.0,3550.0,,,,,,,,,-16.68639,-49.28583,5208707000036,TIM S A
1015313547,100MG7W,NR,3550.0,3550.0,,,,,,,,,-16.71425,-49.201306,5208707000037,TIM S A
1017549262,100MG7W,NR,3350.0,3350.0,,,,,,,,,-16.60539,-49.25004,5208707000038,CLARO S.A.
692518878,100MG7W,NR,3350.0,3350.0,,,,,,,,,-16.78409,-49.36327,5208707000039,CLARO S.A.
1014768605,100MG7W,NR,3450.0,3450.0,,,,,,,,,-16.605681,-49.316789,5208707000040,TELEFONICA BRASIL S.A.
1009916936,100MG7W,NR,3550.0,3550.0,,,,,,,,,-16.696333,-49.314083,5208707000041,TIM S A
1008311968,100MG7W,NR,3350.0,3350.0,,,,,,,,,-16.66636,-49.30855,5208707000042,CLARO S.A.
1004801715,100MG7W,NR,3450.0,3450.0,,,,,,,,,-16.714422,-49.208583,5208707000043,TELEFONICA BRASIL S.A.
5747341,10M0G7W,NR,2160.0,1970.0,,,,,,,,,-16.721086,-49.240028,5208707000044,TELEFONICA BRASIL S.A.
523292457,10M0G7W,NR,2160.0,1970.0,,,,,,,,,-16.64203,-49.30881,5208707000045,TELEFONICA BRASIL S.A.
1016270639,100MG7W,NR,3550.0,3550.0,,,,,,,,,-16.658378,-49.260882,5208707000046,TIM S A
1006652423,100MG7W,NR,3450.0,3450.0,,,,,,,,,-16.61611,-49.32306,5208707000047,TELEFONICA BRASIL S.A.
693182032,100MG7W,NR,3350.0,3350.0,,,,,,,,,-16.61038,-49.34154,5208707000048,CLARO S.A.
1012166063,100MG7W,NR,3450.0,3450.0,,,,,,,,,-16.596306,-49.256,5208707000049,TELEFONICA BRASIL S.A.
693182032,100MG7W,NR,3350.0,3350.0,,,,,,,,,-16.61038,-49.34154,5208707000050,CLARO S.A.
