cell_site_id,emission_designation,technology,tx_frequency,rx_frequency,azimuth,antenna_gain,back_front_relation,hpa,mechanical_elevation,polarization,antenna_height,tx_power,latitude,longitude,cell_carrier_id,operator
1006733504,100MG7W,NR,3350.0,3350.0,,,,,,,,,-7.20969,-34.83381,2507507000000,CLARO S.A.
1016420320,50M0G7W,NR,2325.0,2325.0,,,,,,,,,-7.180421,-34.934718,2507507000001,BRISANET SERVICOS DE TELECOMUNICACOES S.A.
1006948691,10M0G7W,NR,2140.0,1950.0,,,,,,,,,-7.11328,-34.84021,2507507000002,CLARO S.A.
1016341765,50M0G7W,NR,2325.0,2325.0,,,,,,,,,-7.174341,-34.81607,2507507000003,BRISANET SERVICOS DE TELECOMUNICACOES S.A.
690902816,100MG7W,NR,3450.0,3450.0,,,,,,,,,-7.12667,-34.82722,2507507000004,TELEFONICA BRASIL S.A.
1014113412,100MG7W,NR,3450.0,3450.0,,,,,,,,,-7.180611,-34.884778,2507507000005,TELEFONICA BRASIL S.A.
1016631097,50M0G7W,NR,2325.0,2325.0,,,,,,,,,-7.10909,-34.828381,2507507000006,BRISANET SERVICOS DE TELECOMUNICACOES S.A.
1016420320,40M0G7W,NR,2370.0,2370.0,,,,,,,,,-7.180421,-34.934718,2507507000007,BRISANET SERVICOS DE TELECOMUNICACOES S.A.
1016631097,40M0G7W,NR,2370.0,2370.0,,,,,,,,,-7.10909,-34.828381,2507507000008,BRISANET SERVICOS DE TELECOMUNICACOES S.A.
1006948691,10M0G7W,NR,2117.5,1927.5,,,,,,,,,-7.11328,-34.84021,2507507000009,CLARO S.A.
690904223,100MG7W,NR,3450.0,3450.0,,,,,,,,,-7.132194,-34.860056,2507507000010,TELEFONICA BRASIL S.A.
1016437240,50M0G7W,NR,2325.0,2325.0,,,,,,,,,-7.174913,-34.864571,2507507000011,BRISANET SERVICOS DE TELECOMUNICACOES S.A.
690902867,10M0G7W,NR,788.0,733.0,,,,,,,,,-7.11278,-34.8375,2507507000012,TELEFONICA BRASIL S.A.
690904363,10M0G7W,NR,788.0,733.0,,,,,,,,,-7.16694,-34.8625,2507507000013,TELEFONICA BRASIL S.A.
1002540981,100MG7W,NR,3550.0,3550.0,,,,,,,,,-7.143778,-34.875,2507507000014,TIM S A
1015630003,100MG7W,NR,3350.0,3350.0,,,,,,,,,-7.19853,-34.86544,2507507000015,CLARO S.A.
1015630100,100MG7W,NR,3350.0,3350.0,,,,,,,,,-7.14021,-34.88577,2507507000016,CLARO S.A.
1014475489,100MG7W,NR,3450.0,3450.0,,,,,,,,,-7.195416,-34.854,2507507000017,TELEFONICA BRASIL S.A.
1016582207,40M0G7W,NR,2370.0,2370.0,,,,,,,,,-7.119787,-34.827033,2507507000018,BRISANET SERVICOS DE TELECOMUNICACOES S.A.
690904282,100MG7W,NR,3450.0,3450.0,,,,,,,,,-7.201667,-34.843861,2507507000019,TELEFONICA BRASIL S.A.
1016540210,40M0G7W,NR,2370.0,2370.0,,,,,,,,,-7.128141,-34.858751,2507507000020,BRISANET SERVICOS DE TELECOMUNICACOES S.A.
1005096055,100MG7W,NR,3350.0,3350.0,,,,,,,,,-7.16484,-34.84927,2507507000021,CLARO S.A.
692556567,100MG7W,NR,3350.0,3350.0,,,,,,,,,-7.06038,-34.84394,2507507000022,CLARO S.A.
1016072276,100MG7W,NR,3350.0,3350.0,,,,,,,,,-7.13369,-34.87435,2507507000023,CLARO S.A.
1014840829,100MG7W,NR,3450.0,3450.0,,,,,,,,,-7.139611,-34.881028,2507507000024,TELEFONICA BRASIL S.A.
1005096055,100MG7W,NR,3350.0,3350.0,,,,,,,,,-7.16484,-34.84927,2507507000025,CLARO S.A.
687388864,100MG7W,NR,3350.0,3350.0,,,,,,,,,-7.13879,-34.9115,2507507000026,CLARO S.A.
691170193,10M0G7W,NR,788.0,733.0,,,,,,,,,-7.11472,-34.82389,2507507000027,TELEFONICA BRASIL S.A.
1002335326,100MG7W,NR,3550.0,3550.0,,,,,,,,,-7.174417,-34.83025,2507507000028,TIM S A
1016335412,40M0G7W,NR,2370.0,2370.0,,,,,,,,,-7.144469,-34.910545,2507507000029,BRISANET SERVICOS DE TELECOMUNICACOES S.A.
1001662331,100MG7W,NR,3450.0,3450.0,,,,,,,,,-7.17975,-34.893055,2507507000030,TELEFONICA BRASIL S.A.
1016335412,50M0G7W,NR,2325.0,2325.0,,,,,,,,,-7.144469,-34.910545,2507507000031,BRISANET SERVICOS DE TELECOMUNICACOES S.A.
690904711,100MG7W,NR,3450.0,3450.0,,,,,,,,,-7.134361,-34.876028,2507507000032,TELEFONICA BRASIL S.A.
695732765,100MG7W,NR,3550.0,3550.0,,,,,,,,,-7.211,-34.839444,2507507000033,TIM S A
687660335,15M0G7W,NR,2117.5,1927.5,,,,,,,,,-7.17409,-34.8629,2507507000034,CLARO S.A.
687660335,10M0G7W,NR,2140.0,1950.0,,,,,,,,,-7.17409,-34.8629,2507507000035,CLARO S.A.
687660335,100MG7W,NR,3350.0,3350.0,,,,,,,,,-7.17409,-34.8629,2507507000036,CLARO S.A.
698265092,100MG7W,NR,3350.0,3350.0,,,,,,,,,-7.22386,-34.83844,2507507000037,CLARO S.A.
690904711,100MG7W,NR,3450.0,3450.0,,,,,,,,,-7.134361,-34.876028,2507507000038,TELEFONICA BRASIL S.A.
691170193,5M00G7W,NR,788.0,733.0,,,,,,,,,-7.11472,-34.82389,2507507000039,TELEFONICA BRASIL S.A.
