cell_site_id,emission_designation,technology,tx_frequency,rx_frequency,azimuth,antenna_gain,back_front_relation,hpa,mechanical_elevation,polarization,antenna_height,tx_power,latitude,longitude,cell_carrier_id,operator
697488950,100MG7W,NR,3450,3450,,,,,,,,,-3.07333,-60.04944,1302603000000,TELEFONICA BRASIL S.A.
1000995078,50M0G7W,NR,2325,2325,,,,,,,,,-3.08477,-60.0724,1302603000001,CLARO S.A.
1001297757,100MG7W,NR,3450,3450,,,,,,,,,-3.13111,-60.01528,1302603000002,TELEFONICA BRASIL S.A.
1000995078,100MG7W,NR,3350,3350,,,,,,,,,-3.08477,-60.0724,1302603000003,CLARO S.A.
1000426197,100MG7W,NR,3450,3450,,,,,,,,,-2.976828,-60.007306,1302603000004,TELEFONICA BRASIL S.A.
693002697,100MG7W,NR,3550,3550,,,,,,,,,-2.998361,-60.046417,1302603000005,TIM S A
689386664,100MG7W,NR,3450,3450,,,,,,,,,-3.08278,-59.97,1302603000006,TELEFONICA BRASIL S.A.
682912379,100MG7W,NR,3550,3550,,,,,,,,,-3.103667,-59.982083,1302603000007,TIM S A
1012304776,100MG7W,NR,3450,3450,,,,,,,,,-3.067064,-60.061058,1302603000008,TELEFONICA BRASIL S.A.
1000446961,100MG7W,NR,3450,3450,,,,,,,,,-3.11417,-60.01056,1302603000009,TELEFONICA BRASIL S.A.
1000632838,100MG7W,NR,3450,3450,,,,,,,,,-3.01528,-59.95861,1302603000010,TELEFONICA BRASIL S.A.
1008491320,100MG7W,NR,3450,3450,,,,,,,,,-3.14111,-60.00639,1302603000011,TELEFONICA BRASIL S.A.
1005218592,50M0G7W,NR,2325,2325,,,,,,,,,-3.04662,-59.94268,1302603000012,CLARO S.A.
1005218592,50M0G7W,NR,2325,2325,,,,,,,,,-3.04662,-59.94268,1302603000013,CLARO S.A.
1005218592,100MG7W,NR,3350,3350,,,,,,,,,-3.04662,-59.94268,1302603000014,CLARO S.A.
1008599511,100MG7W,NR,3550,3550,,,,,,,,,-2.967417,-59.994944,1302603000015,TIM S A
689979991,100MG7W,NR,3450,3450,,,,,,,,,-3.10361,-59.95667,1302603000016,TELEFONICA BRASIL S.A.
536447993,100MG7W,NR,3450,3450,,,,,,,,,-3.08667,-60.06722,1302603000017,TELEFONICA BRASIL S.A.
1014883684,100MG7W,NR,3550,3550,,,,,,,,,-3.1055,-59.96477,1302603000018,TIM S A
1014436173,100MG7W,NR,3350,3350,,,,,,,,,-3.07542,-60.01972,1302603000019,CLARO S.A.
691995451,100MG7W,NR,3450,3450,,,,,,,,,-3.11083,-60.05833,1302603000020,TELEFONICA BRASIL S.A.
699633109,100MG7W,NR,3450,3450,,,,,,,,,-3.0875,-60.03222,1302603000021,TELEFONICA BRASIL S.A.
698505255,100MG7W,NR,3450,3450,,,,,,,,,-3.115389,-60.026056,1302603000022,TELEFONICA BRASIL S.A.
1014436173,100MG7W,NR,3350,3350,,,,,,,,,-3.07542,-60.01972,1302603000023,CLARO S.A.
1016689249,100MG7W,NR,3350,3350,,,,,,,,,-3.02617,-60.00316,1302603000024,CLARO S.A.
