cell_site_id,emission_designation,technology,tx_frequency,rx_frequency,azimuth,antenna_gain,back_front_relation,hpa,mechanical_elevation,polarization,antenna_height,tx_power,latitude,longitude,cell_carrier_id,operator
690906145,100MG7W,NR,3450.0,3450.0,,,,,,,,,-5.762167,-35.279861,2408102000000,TELEFONICA BRASIL S.A.
1016305017,40M0G7W,NR,2370.0,2370.0,,,,,,,,,-5.834608,-35.223806,2408102000001,BRISANET SERVICOS DE TELECOMUNICACOES S.A.
1016305017,50M0G7W,NR,2325.0,2325.0,,,,,,,,,-5.834608,-35.223806,2408102000002,BRISANET SERVICOS DE TELECOMUNICACOES S.A.
691183031,100MG7W,NR,3450.0,3450.0,,,,,,,,,-5.860083,-35.198833,2408102000003,TELEFONICA BRASIL S.A.
1015829802,100MG7W,NR,3450.0,3450.0,,,,,,,,,-5.73672,-35.27206,2408102000004,TELEFONICA BRASIL S.A.
1017258756,100MG7W,NR,3350.0,3350.0,,,,,,,,,-5.88627,-35.1664,2408102000005,CLARO S.A.
1016335994,50M0G7W,NR,2325.0,2325.0,,,,,,,,,-5.820624,-35.228987,2408102000006,BRISANET SERVICOS DE TELECOMUNICACOES S.A.
1016257314,100MG7W,NR,3450.0,3450.0,,,,,,,,,-5.86871,-35.23072,2408102000007,TELEFONICA BRASIL S.A.
4863887,100MG7W,NR,3550.0,3550.0,,,,,,,,,-5.845467,-35.200931,2408102000008,TIM S A
691348103,100MG7W,NR,3450.0,3450.0,,,,,,,,,-5.80972,-35.23,2408102000009,TELEFONICA BRASIL S.A.
690905912,100MG7W,NR,3450.0,3450.0,,,,,,,,,-5.829167,-35.223611,2408102000010,TELEFONICA BRASIL S.A.
691346259,100MG7W,NR,3450.0,3450.0,,,,,,,,,-5.7785,-35.201944,2408102000011,TELEFONICA BRASIL S.A.
693190442,100MG7W,NR,3450.0,3450.0,,,,,,,,,-5.881722,-35.173806,2408102000012,TELEFONICA BRASIL S.A.
690905840,100MG7W,NR,3450.0,3450.0,,,,,,,,,-5.79139,-35.21111,2408102000013,TELEFONICA BRASIL S.A.
687471796,100MG7W,NR,3350.0,3350.0,,,,,,,,,-5.82606,-35.2162,2408102000014,CLARO S.A.
1016335994,40M0G7W,NR,2370.0,2370.0,,,,,,,,,-5.820624,-35.228987,2408102000015,BRISANET SERVICOS DE TELECOMUNICACOES S.A.
1016221700,100MG7W,NR,3350.0,3350.0,,,,,,,,,-5.78343,-35.19177,2408102000016,CLARO S.A.
6558003,100MG7W,NR,3550.0,3550.0,,,,,,,,,-5.871944,-35.180861,2408102000017,TIM S A
910171,100MG7W,NR,3550.0,3550.0,,,,,,,,,-5.821972,-35.234722,2408102000018,TIM S A
695561146,5M00G7W,NR,2140.0,1950.0,,,,,,,,,-5.80024,-35.20795,2408102000019,CLARO S.A.
1016159665,100MG7W,NR,3350.0,3350.0,,,,,,,,,-5.87559,-35.18017,2408102000020,CLARO S.A.
1006948721,100MG7W,NR,3350.0,3350.0,,,,,,,,,-5.86709,-35.19758,2408102000021,CLARO S.A.
881813,100MG7W,NR,3550.0,3550.0,,,,,,,,,-5.800556,-35.215833,2408102000022,TIM S A
690905998,100MG7W,NR,3450.0,3450.0,,,,,,,,,-5.869528,-35.190694,2408102000023,TELEFONICA BRASIL S.A.
1000576822,100MG7W,NR,3550.0,3550.0,,,,,,,,,-5.841111,-35.2463,2408102000024,TIM S A
1008690713,100MG7W,NR,3550.0,3550.0,,,,,,,,,-5.87725,-35.17991,2408102000025,TIM S A
6557007,100MG7W,NR,3550.0,3550.0,,,,,,,,,-5.754472,-35.231972,2408102000026,TIM S A
690905980,100MG7W,NR,3450.0,3450.0,,,,,,,,,-5.87167,-35.18111,2408102000027,TELEFONICA BRASIL S.A.
690905971,100MG7W,NR,3450.0,3450.0,,,,,,,,,-5.841303,-35.2463,2408102000028,TELEFONICA BRASIL S.A.
691346240,100MG7W,NR,3450.0,3450.0,,,,,,,,,-5.790444,-35.191194,2408102000029,TELEFONICA BRASIL S.A.
