cell_site_id,emission_designation,technology,tx_frequency,rx_frequency,azimuth,antenna_gain,back_front_relation,hpa,mechanical_elevation,polarization,antenna_height,tx_power,latitude,longitude,cell_carrier_id,operator
688890466,100MG7W,NR,3550.0,3550.0,,,,,,,,,-8.056694,-34.971389,2611606000000,TIM S A
379980622,100MG7W,NR,3550.0,3550.0,,,,,,,,,-8.119167,-34.945556,2611606000001,TIM S A
1002312091,100MG7W,NR,3550.0,3550.0,,,,,,,,,-8.090833,-34.89325,2611606000002,TIM S A
691430683,100MG7W,NR,3550.0,3550.0,,,,,,,,,-8.07475,-34.892611,2611606000003,TIM S A
379980630,100MG7W,NR,3550.0,3550.0,,,,,,,,,-8.0975,-34.912778,2611606000004,TIM S A
688892817,100MG7W,NR,3550.0,3550.0,,,,,,,,,-8.03583,-34.97972,2611606000005,TIM S A
379980649,100MG7W,NR,3550.0,3550.0,,,,,,,,,-8.116667,-34.911667,2611606000006,TIM S A
1001602452,100MG7W,NR,3550.0,3550.0,,,,,,,,,-8.100147,-34.938622,2611606000007,TIM S A
1002312091,100MG7W,NR,3550.0,3550.0,,,,,,,,,-8.090833,-34.89325,2611606000008,TIM S A
379980525,100MG7W,NR,3550.0,3550.0,,,,,,,,,-8.126917,-34.905056,2611606000009,TIM S A
379980649,100MG7W,NR,3550.0,3550.0,,,,,,,,,-8.116667,-34.911667,2611606000010,TIM S A
379980649,100MG7W,NR,3550.0,3550.0,,,,,,,,,-8.116667,-34.911667,2611606000011,TIM S A
690568193,100MG7W,NR,3450.0,3450.0,,,,,,,,,-8.055667,-34.877861,2611606000012,TELEFONICA BRASIL S.A.
379972891,100MG7W,NR,3550.0,3550.0,,,,,,,,,-8.062778,-34.910833,2611606000013,TIM S A
379980525,100MG7W,NR,3550.0,3550.0,,,,,,,,,-8.126917,-34.905056,2611606000014,TIM S A
1015803994,100MG7W,NR,3450.0,3450.0,,,,,,,,,-8.07108,-34.87976,2611606000015,TELEFONICA BRASIL S.A.
690566514,100MG7W,NR,3450.0,3450.0,,,,,,,,,-8.063,-34.884444,2611606000016,TELEFONICA BRASIL S.A.
379980622,100MG7W,NR,3550.0,3550.0,,,,,,,,,-8.119167,-34.945556,2611606000017,TIM S A
695340123,100MG7W,NR,3550.0,3550.0,,,,,,,,,-7.98889,-34.93111,2611606000018,TIM S A
1015746737,100MG7W,NR,3350.0,3350.0,,,,,,,,,-8.05687,-34.89745,2611606000019,CLARO S.A.
686139364,100MG7W,NR,3350.0,3350.0,,,,,,,,,-8.11402,-34.8963,2611606000020,CLARO S.A.
1007393804,100MG7W,NR,3550.0,3550.0,,,,,,,,,-8.10417,-34.91333,2611606000021,TIM S A
379973790,100MG7W,NR,3550.0,3550.0,,,,,,,,,-8.055556,-34.911389,2611606000022,TIM S A
697592464,100MG7W,NR,3350.0,3350.0,,,,,,,,,-8.07019,-34.98719,2611606000023,CLARO S.A.
690612834,100MG7W,NR,3450.0,3450.0,,,,,,,,,-8.100611,-34.885139,2611606000024,TELEFONICA BRASIL S.A.
690551525,100MG7W,NR,3450.0,3450.0,,,,,,,,,-8.026444,-34.958472,2611606000025,TELEFONICA BRASIL S.A.
690752792,100MG7W,NR,3450.0,3450.0,,,,,,,,,-8.06917,-34.88194,2611606000026,TELEFONICA BRASIL S.A.
