cell_site_id,emission_designation,technology,tx_frequency,rx_frequency,azimuth,antenna_gain,back_front_relation,hpa,mechanical_elevation,polarization,antenna_height,tx_power,latitude,longitude,cell_carrier_id,operator
692343130,50M0G7W,NR,2325.0,2325.0,,,,,,,,,-20.260831,-40.270558,3205309000000,TELEFONICA BRASIL S.A.
697518299,100MG7W,NR,3450.0,3450.0,,,,,,,,,-20.264756,-40.268475,3205309000001,TELEFONICA BRASIL S.A.
1006206199,100MG7W,NR,3450.0,3450.0,,,,,,,,,-20.312589,-40.294038,3205309000002,TELEFONICA BRASIL S.A.
1001854818,100MG7W,NR,3450.0,3450.0,,,,,,,,,-20.28611,-40.29444,3205309000003,TELEFONICA BRASIL S.A.
687491169,100MG7W,NR,3350.0,3350.0,,,,,,,,,-20.3194,-40.3297,3205309000004,CLARO S.A.
693139501,100MG7W,NR,3450.0,3450.0,,,,,,,,,-20.28472,-40.30028,3205309000005,TELEFONICA BRASIL S.A.
1015967210,100MG7W,NR,3450.0,3450.0,,,,,,,,,-20.301487,-40.282143,3205309000006,TELEFONICA BRASIL S.A.
1010417344,50M0G7W,NR,2325.0,2325.0,,,,,,,,,-20.300161,-40.320417,3205309000007,TELEFONICA BRASIL S.A.
1001541291,100MG7W,NR,3450.0,3450.0,,,,,,,,,-20.28045,-40.296456,3205309000008,TELEFONICA BRASIL S.A.
683173600,100MG7W,NR,3550.0,3550.0,,,,,,,,,-20.321567,-40.354258,3205309000009,TIM S A
536371032,10M0G7W,NR,2160.0,1970.0,,,,,,,,,-20.256311,-40.290469,3205309000010,TELEFONICA BRASIL S.A.
684361566,100MG7W,NR,3450.0,3450.0,,,,,,,,,-20.295873,-40.318084,3205309000011,TELEFONICA BRASIL S.A.
536371032,5M00G7W,NR,2167.5,1977.5,,,,,,,,,-20.256311,-40.290469,3205309000012,TELEFONICA BRASIL S.A.
683173600,100MG7W,NR,3550.0,3550.0,,,,,,,,,-20.321567,-40.354258,3205309000013,TIM S A
690604742,100MG7W,NR,3450.0,3450.0,,,,,,,,,-20.26361,-40.26278,3205309000014,TELEFONICA BRASIL S.A.
1002135270,100MG7W,NR,3450.0,3450.0,,,,,,,,,-20.29472,-40.29194,3205309000015,TELEFONICA BRASIL S.A.
1000791120,100MG7W,NR,3450.0,3450.0,,,,,,,,,-20.273,-40.2928,3205309000016,TELEFONICA BRASIL S.A.
690405022,100MG7W,NR,3450.0,3450.0,,,,,,,,,-20.299981,-40.292667,3205309000017,TELEFONICA BRASIL S.A.
697518558,10M0G7W,NR,2160.0,1970.0,,,,,,,,,-20.280556,-40.290197,3205309000018,TELEFONICA BRASIL S.A.
1015967237,100MG7W,NR,3450.0,3450.0,,,,,,,,,-20.300204,-40.277017,3205309000019,TELEFONICA BRASIL S.A.
1002135270,50M0G7W,NR,2325.0,2325.0,,,,,,,,,-20.29472,-40.29194,3205309000020,TELEFONICA BRASIL S.A.
1014285647,100MG7W,NR,3350.0,3350.0,,,,,,,,,-20.31448,-40.29546,3205309000021,CLARO S.A.
684848465,100MG7W,NR,3550.0,3550.0,,,,,,,,,-20.257944,-40.294889,3205309000022,TIM S A
690405022,100MG7W,NR,3450.0,3450.0,,,,,,,,,-20.299981,-40.292667,3205309000023,TELEFONICA BRASIL S.A.
1015468044,100MG7W,NR,3450.0,3450.0,,,,,,,,,-20.27421,-40.2833,3205309000024,TELEFONICA BRASIL S.A.
684361248,100MG7W,NR,3450.0,3450.0,,,,,,,,,-20.29667,-40.29361,3205309000025,TELEFONICA BRASIL S.A.
1012929539,100MG7W,NR,3350.0,3350.0,,,,,,,,,-20.26506,-40.2824,3205309000026,CLARO S.A.
684581531,100MG7W,NR,3550.0,3550.0,,,,,,,,,-20.30575,-40.329472,3205309000027,TIM S A
